X_t,Y_t,pm_alpha,pm_delta
0.003278174611830409,-0.0018633847158400906,-5.930328703531786,-4.855490229613169
-0.0013208636916112561,-0.0035383280147056094,-9.455499452547715,-13.081879461873344
0.001073722948456893,0.003624228698077523,,
0.002167856707496106,0.0031048933920972297,-6.392469595971894,-1.9562067902165892
-0.0007890242437553801,0.0037060864177341484,-3.468072796781243,-5.613872349824296
0.001892766155920642,-0.003299711864245069,-6.025936039574894,-1.7697040060544025
-0.0021989021575560784,0.0031099408391302725,-6.472614152830907,-1.6809632572747524
0.0036338245250918336,-0.0011841813215345157,,
0.003778335211837631,-0.0007836715875527686,-6.769621969006197,-1.7471588410437335
0.0028983370484479427,0.0025832050141029127,,
-0.0014855107208443384,-0.0036070710360962908,,
-0.0009661417394121705,0.0037991196383140536,,
-0.001729969414484389,0.003539644878098786,-6.950683613427831,-3.6818360622793618
-0.0008851480034360635,-0.003841929050799017,,
3.584500830915813e-05,0.003957549444337907,,
0.0031926775912114766,0.002348316178555089,-6.159684780862748,-1.9271959071873968
-0.003973239276344723,0.0002948430297640384,,
0.0016877855445887376,-0.003681376605766685,-5.761091938660237,-1.5264135956894176
0.004025494055185886,0.00048285712577598723,-5.033889613907274,-2.954981002546483
0.004000526705114104,0.000684325229735456,,
-0.0015420288315404847,0.0037563983159369157,-8.390291521740751,-2.012382413652218
-0.0031568018163704798,-0.0025992907241200445,-6.394884086518517,-0.6876349202033915
-0.004033436901950096,-0.000708018331374472,-9.154387341670587,0.4611232936770213
0.0040971042470040065,0.00013319484517016278,,
0.0039343194999867425,-0.0011637112337835247,,
-0.0023308916248442352,0.0033773082163654085,-5.91906891001091,-1.113335556840089
0.003878854144599547,0.0013449957782332275,-6.424868387452616,-0.7293977515453054
0.0012614695324065198,0.003955918043871587,-5.885039149633879,-2.67279296772086
-0.0026603602844650818,-0.0031948778059310043,,
0.003771375301245854,-0.0018365157218442959,-5.942693446736352,-1.5835207105365012
-0.0035869161926490463,-0.0021991093664149738,-6.206756804175787,-2.671975583438304
0.00407671070147218,0.0010444147734995387,,
0.0026762503411259264,0.0032582544212214465,-6.346664661633437,-2.2253155956553368
0.000615981989288109,0.0041756952612590275,-5.993250894760978,-1.2152625080921042
0.00024615513831310084,0.004219661878366369,-5.378843667948405,-1.411337949029685
-0.0020168549702798623,-0.0037194866691675054,-6.79519980701598,-2.6117061062259275
-0.0013512463995798102,0.004019611537850095,,
0.0014802241950265746,0.00398506184811621,-6.199104417521213,-2.2586408040608337
-0.003921671084221777,-0.0016980512376674898,-7.4228158247485405,-3.0297997080133303
0.003210491624996999,-0.00282286779098468,,
-0.00012186558515266227,0.004280893980466366,-5.672769039159525,-10.681016335925534
0.0018369620670173304,0.0038703981472756493,-6.312179620360846,-2.727960865854813
0.002803730555111477,-0.0032443138719540714,-6.280183429343695,-2.026442682472555
0.0007775117883859426,-0.004226259150945437,-8.049250949214693,-3.4574385168278656
-0.004163575875859479,-0.0010845485495597361,,
-0.0042258359266520475,0.0008421673160633087,-6.433945222196752,-2.371044117640081
0.0019613205401678904,-0.0038477534870004233,-5.662752513425287,-3.4632859927465844
-0.0035535917990700485,0.0024587463528482124,,
0.004109359675120321,-0.0013421736113913276,-14.833339581147234,7.115896205156597
